GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US36109,"Tompkins County, New York",73273,99301
0500000US36111,"Ulster County, New York",76072,93919
0500000US36113,"Warren County, New York",70931,85505
0500000US36117,"Wayne County, New York",61365,72010
0500000US36119,"Westchester County, New York",107995,161996
0500000US37001,"Alamance County, North Carolina",51269,69704
0500000US37019,"Brunswick County, North Carolina",55682,71655
0500000US37021,"Buncombe County, North Carolina",62095,80515
0500000US37023,"Burke County, North Carolina",50528,61593
0500000US37025,"Cabarrus County, North Carolina",65469,81129
0500000US37027,"Caldwell County, North Carolina",47111,60818
0500000US37031,"Carteret County, North Carolina",63104,75790
0500000US37035,"Catawba County, North Carolina",52068,65622
0500000US37037,"Chatham County, North Carolina",70241,92066
0500000US37045,"Cleveland County, North Carolina",47998,59871
0500000US37049,"Craven County, North Carolina",49403,62199
0500000US37051,"Cumberland County, North Carolina",50746,66153
0500000US37057,"Davidson County, North Carolina",54394,64803
0500000US37063,"Durham County, North Carolina",64883,85892
0500000US37067,"Forsyth County, North Carolina",57175,74553
0500000US37071,"Gaston County, North Carolina",51904,69997
0500000US37081,"Guilford County, North Carolina",57683,78079
0500000US37085,"Harnett County, North Carolina",49639,59640
0500000US37089,"Henderson County, North Carolina",57273,67080
0500000US37097,"Iredell County, North Carolina",63546,86614
0500000US37101,"Johnston County, North Carolina",61372,71747
0500000US37109,"Lincoln County, North Carolina",51932,67275
0500000US37119,"Mecklenburg County, North Carolina",72204,102135
0500000US37125,"Moore County, North Carolina",63554,75729
0500000US37127,"Nash County, North Carolina",50849,70195
0500000US37129,"New Hanover County, North Carolina",66098,90368
0500000US37133,"Onslow County, North Carolina",53785,67780
0500000US37135,"Orange County, North Carolina",82624,127575
0500000US37147,"Pitt County, North Carolina",52501,73830
0500000US37151,"Randolph County, North Carolina",49371,62622
0500000US37155,"Robeson County, North Carolina",34660,47526
0500000US37157,"Rockingham County, North Carolina",47046,59196
0500000US37159,"Rowan County, North Carolina",54531,70528
0500000US37161,"Rutherford County, North Carolina",43681,53253
